"DATA/CZAS";"TYP";"ZLECENIE#";"TRANSAKCJA#";"ZLECENIE POWIĄZANE#";"INSTRUMENT";"JEDNOSTKI/IL.";"CENA";"TOLERANCJA CENA";"STOP LOSS";"TAKE PROFIT";"DEPOZYT ZABEZPIECZAJĄCY (PLN)";"KURS WYMIANY";"WARTOŚĆ POZYCJI (PLN)";"ZAKSIĘGOWANA KWOTA (PLN)";"SALDO (PLN)";"WARTOŚĆ WYŁĄCZAJĄC OPŁATĘ";"OPŁATA";"KOSZTY UTRZYMANIA POZYCJI - WARTOŚĆ POZYCJI";"STAWKA ZA UTRZYMANIE POZYCJI";"KOSZTY UTRZYMANIA POZYCJI (PLN)";"KOSZTY UTRZYMANIA POZYCJI - SUMA (PLN)";"OPŁATA";"ZWROT %";"KIERUNEK";"WYPŁATA GDY ZYSK";"WYPŁATA GDY BEZ ZMIANY";"OTWARCIE";"WYGAŚNIĘCIE";"ROZLICZENIE";"CENA ROZLICZENIA";"WYNIK";"WYPŁATA";"TYP";"WYGAŚNIĘCIE";"CENA WYKONAWCZA";"ROZLICZENIE";"CENA ROZLICZENIA";"ZYSK";"STRATA"
"28 List 2024 23:27:36";"Transakcja Sprzedaży";"O2-DC-9D08VV";"T2-DC-5P7GCB";"-";"USD/JPY";"44 000 Jednost.";"151,512";"-";"-";"-";"-";"4,101546";"180 468,02";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"28 List 2024 23:02:06";"Koszty Utrzymania Pozycji";"1391698115";"-";"-";"Rachunek";"-";"-";"-";"-";"-";"-";"-";"-";"-52,44";"29 624,27";"-";"-";"-";"-";"-";"-52,44";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"28 List 2024 23:02:06";"Koszty Utrzymania Pozycji";"O2-DC-9CW8WR";"-";"-";"USD/JPY";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"90 000,00";"5,53252%";"-55,94";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"28 List 2024 23:02:06";"Koszty Utrzymania Pozycji";"O2-DC-9CX5JR";"-";"-";"USD/JPY";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"14 000,00";"5,53252%";"-8,70";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"28 List 2024 23:02:06";"Koszty Utrzymania Pozycji";"O2-DB-9C9X8L";"-";"-";"USD/JPY";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"20 000,00";"3,47811%";"7,74";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"28 List 2024 23:02:06";"Koszty Utrzymania Pozycji";"O2-DB-9CQYNM";"-";"-";"USD/JPY";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"100 000,00";"3,47811%";"38,69";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"28 List 2024 23:02:06";"Koszty Utrzymania Pozycji";"O2-DC-9CTNWE";"-";"-";"USD/JPY";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"100 000,00";"3,47811%";"38,69";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"28 List 2024 23:02:06";"Koszty Utrzymania Pozycji";"O2-D9-9BS5RZ";"-";"-";"USD/JPY";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"22 000,00";"5,53252%";"-13,68";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"28 List 2024 23:02:06";"Koszty Utrzymania Pozycji";"O2-DB-9CKXH9";"-";"-";"USD/JPY";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"90 000,00";"3,47811%";"34,82";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"28 List 2024 23:02:06";"Koszty Utrzymania Pozycji";"O2-DB-9C9XVJ";"-";"-";"USD/JPY";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"30 000,00";"3,47811%";"11,61";"0,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
